exp,name,side,median_ms,min_ms,error
sfpu_complexity,relu,256,260.97903633490205,89.29216954857111,
sfpu_complexity,abs,256,173.62750973552465,159.1237597167492,
sfpu_complexity,square,256,159.67152081429958,156.71639703214169,
sfpu_complexity,sqrt,256,205.18574491143227,156.1355534940958,
sfpu_complexity,rsqrt,256,120.53407682105899,107.39920940250158,
sfpu_complexity,exp,256,128.20735946297646,114.49114698916674,
sfpu_complexity,exp2,256,225.01084534451365,120.56984659284353,
sfpu_complexity,log,256,190.43291872367263,161.80631704628468,
sfpu_complexity,sigmoid,256,181.48248270154,135.78074146062136,
sfpu_complexity,tanh,256,297.7365190163255,214.56906665116549,
sfpu_complexity,gelu,256,137.87948433309793,107.59056732058525,
sfpu_complexity,silu,256,206.56747464090586,130.74879627674818,
sfpu_complexity,sin,256,180.45279243960977,167.8113779053092,
sfpu_complexity,cos,256,208.0059670843184,151.06475166976452,
sfpu_complexity,erf,256,225.824985653162,218.80294010043144,
sfpu_complexity,i0,256,1546.6658445075154,1419.7359085083008,
