backend,op,dtype,total_elements,num_tiles,samples,median_ms,min_ms,mean_ms,std_ms
emule-wormhole,exp,bfloat16,56320,55,2,112.87311249999999,108.809793,112.87311249999999,4.063319499999999
emule-wormhole,exp,bfloat16,57344,56,2,150.7553555,88.700162,150.7553555,62.0551935
emule-wormhole,exp,bfloat16,61440,60,4,150.433607,73.437005,140.3897395,44.978760847464805
emule-wormhole,exp,bfloat16,71680,70,2,133.5169275,112.191855,133.5169275,21.325072500000005
emule-wormhole,exp,bfloat16,86016,84,2,386.747025,86.533528,386.747025,300.21349699999996
emule-wormhole,exp,bfloat16,102400,100,2,143.7586185,126.5998,143.7586185,17.158818500000002
emule-wormhole,exp,bfloat16,107520,105,2,118.0471215,95.039349,118.0471215,23.007772499999994
emule-wormhole,exp,bfloat16,110592,108,4,110.2327195,86.978722,115.4809695,24.657122584917914
emule-wormhole,exp,bfloat16,122880,120,2,130.4412215,107.146516,130.4412215,23.2947055
emule-wormhole,exp,bfloat16,129024,126,4,98.27408199999999,81.908573,108.95370025,28.86500115894997
emule-wormhole,exp,bfloat16,143360,140,2,149.6183575,84.743545,149.6183575,64.87481249999999
emule-wormhole,exp,bfloat16,147456,144,4,144.8503035,64.657583,138.5155515,49.549436693469445
emule-wormhole,exp,bfloat16,157696,154,2,118.4762445,102.727177,118.4762445,15.749067500000002
emule-wormhole,exp,bfloat16,165888,162,2,87.80985799999999,79.673861,87.80985799999999,8.135996999999996
emule-wormhole,exp,bfloat16,184320,180,2,88.3153495,47.019953,88.3153495,41.2953965
emule-wormhole,exp,bfloat16,245760,240,4,102.3324685,92.58305,114.3612655,27.383548624080255
emule-wormhole,exp,bfloat16,256000,250,2,166.4667675,145.147401,166.4667675,21.3193665
emule-wormhole,exp,bfloat16,258048,252,2,109.334733,93.057655,109.334733,16.277078000000003
emule-wormhole,exp,bfloat16,276480,270,2,125.218383,76.399138,125.218383,48.81924500000001
emule-wormhole,exp,bfloat16,286720,280,4,107.6637755,75.257936,119.454357,46.24222312544133
emule-wormhole,exp,bfloat16,294912,288,4,100.0636765,81.349622,113.46657825,34.90348467332145
emule-wormhole,exp,bfloat16,307200,300,2,74.4022835,61.624255,74.4022835,12.778028500000001
emule-wormhole,exp,bfloat16,322560,315,2,79.073763,61.78278,79.073763,17.290982999999997
emule-wormhole,exp,bfloat16,337920,330,2,111.27614249999999,110.882189,111.27614249999999,0.39395350000000207
emule-wormhole,exp,bfloat16,368640,360,6,135.6485935,98.400222,145.98852166666668,46.38715700832391
emule-wormhole,exp,bfloat16,405504,396,2,88.07003399999999,82.358585,88.07003399999999,5.711448999999995
emule-wormhole,exp,bfloat16,491520,480,2,109.1381085,95.242447,109.1381085,13.895661500000003
emule-wormhole,exp,bfloat16,516096,504,2,121.24380450000001,102.392467,121.24380450000001,18.851337500000007
emule-wormhole,exp,bfloat16,688128,672,2,108.0696925,78.31373,108.0696925,29.755962500000003
emule-wormhole,exp,bfloat16,716800,700,2,142.911065,122.566473,142.911065,20.344592000000006
emule-wormhole,exp,bfloat16,1105920,1080,2,75.476324,54.627649,75.476324,20.848675000000004
emule-wormhole,exp,bfloat16,1146880,1120,2,122.74272450000001,104.373079,122.74272450000001,18.369645499999997
emule-wormhole,exp,bfloat16,1161216,1134,2,129.5114385,87.770875,129.5114385,41.7405635
emule-wormhole,exp,bfloat16,1376256,1344,2,97.0587405,47.312841,97.0587405,49.74589950000001
emule-wormhole,exp,bfloat16,1433600,1400,2,104.94539800000001,85.261412,104.94539800000001,19.683985999999997
emule-wormhole,exp,bfloat16,1658880,1620,2,120.6694775,116.73931,120.6694775,3.930167499999996
emule-wormhole,exp,bfloat16,1720320,1680,2,120.419262,83.580234,120.419262,36.83902799999999
emule-wormhole,exp,bfloat16,2408448,2352,2,93.13637,92.060602,93.13637,1.0757679999999965
