backend,op,dtype,total_elements,num_tiles,samples,median_ms,min_ms,mean_ms,std_ms
emule-wormhole,exp,bfloat16,2048,2,2,80.915508,70.051651,80.915508,10.863856999999996
emule-wormhole,exp,bfloat16,3072,3,2,136.4200345,88.780578,136.4200345,47.6394565
emule-wormhole,exp,bfloat16,4096,4,2,101.743262,77.052451,101.743262,24.690810999999997
emule-wormhole,exp,bfloat16,5120,5,4,176.48320999999999,86.144975,165.632575,58.134459454363196
emule-wormhole,exp,bfloat16,6144,6,6,112.6332525,58.329605,125.73443083333335,45.936122242462794
emule-wormhole,exp,bfloat16,7168,7,4,97.28617750000001,85.549448,103.65642650000001,18.453522941993608
emule-wormhole,exp,bfloat16,8192,8,2,128.4340025,104.41631,128.4340025,24.017692500000003
emule-wormhole,exp,bfloat16,12288,12,6,114.896084,65.219507,116.63113983333334,35.26405068528254
emule-wormhole,exp,bfloat16,14336,14,4,172.407954,140.909674,171.979816,27.463593000246934
emule-wormhole,exp,bfloat16,15360,15,4,154.9240775,62.227925,147.99161725,72.43325336984573
emule-wormhole,exp,bfloat16,16384,16,2,89.3337415,80.46725,89.3337415,8.866491499999995
emule-wormhole,exp,bfloat16,18432,18,2,96.910808,67.163967,96.910808,29.746841000000003
emule-wormhole,exp,bfloat16,20480,20,8,101.3026265,75.304641,101.997943875,20.93026010278836
emule-wormhole,exp,bfloat16,21504,21,4,140.74113549999998,71.635532,143.004513,54.06345228094064
emule-wormhole,exp,bfloat16,24576,24,6,127.647716,105.290497,133.69736116666667,29.235379524349298
emule-wormhole,exp,bfloat16,30720,30,4,83.266063,54.699668,94.9073345,39.40347084317363
emule-wormhole,exp,bfloat16,35840,35,4,128.8614995,53.686547,125.01348175000001,56.8845469272742
emule-wormhole,exp,bfloat16,36864,36,6,116.172879,70.731191,149.14586316666666,92.41832042783469
emule-wormhole,exp,bfloat16,40960,40,2,127.06355249999999,120.108233,127.06355249999999,6.9553194999999945
emule-wormhole,exp,bfloat16,43008,42,2,123.971946,63.958156,123.971946,60.01379
emule-wormhole,exp,bfloat16,46080,45,2,112.056893,109.56911,112.056893,2.4877830000000003
emule-wormhole,exp,bfloat16,49152,48,2,84.52660449999999,83.799533,84.52660449999999,0.727071500000001
