backend,batch,median_ms,min_ms,error
emule-wh,1,142.52045704051852,67.37423688173294,
emule-wh,4,201.24550070613623,155.59643227607012,
emule-wh,16,194.81899868696928,136.19903288781643,
emule-wh,64,217.14286739006639,133.79852660000324,
