backend,op,ops,side_tiles,cold,reset_ms,import_ms,open_ms,compile_ms,warm_mean_ms,ops_total_ms,close_ms,bringup_ms,total_ms,total_with_reset_ms
emule-wormhole,exp,1,8,0,0.0,1656.322,203.303,639.346,nan,639.346,0.445,1859.625,2499.416,2499.416
emule-wormhole,exp,2,8,0,0.0,1599.141,198.899,819.666,139.114,958.78,0.456,1798.04,2757.276,2757.276
emule-wormhole,exp,5,8,0,0.0,1693.969,200.326,995.142,238.748,1950.134,0.631,1894.295,3845.06,3845.06
emule-wormhole,exp,10,8,0,0.0,1643.157,202.019,616.744,169.688,2143.937,0.523,1845.175,3989.635,3989.635
emule-wormhole,exp,20,8,0,0.0,1698.841,197.243,926.701,162.685,4017.719,0.609,1896.084,5914.411,5914.411
emule-wormhole,exp,50,8,0,0.0,1662.311,202.135,1007.776,166.822,9182.063,0.509,1864.445,11047.017,11047.017
emule-wormhole,exp,100,8,0,0.0,1663.462,199.422,744.648,136.986,14306.244,0.615,1862.885,16169.743,16169.743
emule-wormhole,exp,200,8,0,0.0,1642.87,199.405,797.788,152.909,31226.66,0.535,1842.275,33069.47,33069.47
emule-wormhole,exp,350,8,0,0.0,1714.461,199.331,1129.183,165.391,58850.534,0.495,1913.792,60764.82,60764.82
emule-wormhole,exp,500,8,0,0.0,1747.074,203.49,724.296,134.942,68060.371,0.532,1950.564,70011.467,70011.467
