backend,fidelity,side,S,median_ms,min_ms,error
emule-wh,LoFi,16,512,180.63992680981755,117.48494952917099,
emule-wh,HiFi2,16,512,147.2092568874359,124.44224022328854,
emule-wh,HiFi3,16,512,194.77437436580658,96.03458270430565,
emule-wh,HiFi4,16,512,174.2419139482081,99.68711715191603,
emule-wh,LoFi,32,1024,159.48105650022626,131.81408867239952,
emule-wh,HiFi2,32,1024,195.757697802037,130.3012128919363,
emule-wh,HiFi3,32,1024,158.855012152344,119.06085070222616,
emule-wh,HiFi4,32,1024,214.62779445573688,156.5764844417572,
