backend,name,side,median_ms,min_ms,error
emule-wh,relu,256,123.42112977057695,68.27121507376432,
emule-wh,abs,256,146.09275572001934,114.4288070499897,
emule-wh,square,256,130.85974799469113,116.24040547758341,
emule-wh,sqrt,256,203.31872487440705,173.28918166458607,
emule-wh,rsqrt,256,138.34928581491113,130.43853640556335,
emule-wh,exp,256,169.82957161962986,125.58676023036242,
emule-wh,exp2,256,190.34915138036013,105.72665836662054,
emule-wh,log,256,260.9569081105292,211.01661026477814,
emule-wh,sigmoid,256,156.60946676507592,138.00046313554049,
emule-wh,tanh,256,216.6900597512722,194.93438303470612,
emule-wh,gelu,256,188.35191568359733,164.54615723341703,
emule-wh,silu,256,150.86678368970752,132.0012416690588,
emule-wh,sin,256,139.8550122976303,129.5272409915924,
emule-wh,cos,256,116.48678267374635,110.97335442900658,
emule-wh,erf,256,220.59895703569055,189.99335262924433,
emule-wh,i0,256,1597.683041356504,1441.8042143806815,
