backend,op,dtype,total_elements,num_tiles,samples,median_ms,min_ms,mean_ms,std_ms
silicon-wh-b0,gelu,bfloat16,2048,2,1,0.235572,0.235572,0.235572,0.0
silicon-wh-b0,gelu,bfloat16,3072,3,1,0.229426,0.229426,0.229426,0.0
silicon-wh-b0,gelu,bfloat16,4096,4,1,0.227191,0.227191,0.227191,0.0
silicon-wh-b0,gelu,bfloat16,5120,5,1,0.24123,0.24123,0.24123,0.0
silicon-wh-b0,gelu,bfloat16,6144,6,2,0.218112,0.203445,0.218112,0.014667000000000013
silicon-wh-b0,gelu,bfloat16,7168,7,2,0.33589800000000003,0.312746,0.33589800000000003,0.023151999999999978
silicon-wh-b0,gelu,bfloat16,8192,8,1,0.35479,0.35479,0.35479,0.0
silicon-wh-b0,gelu,bfloat16,12288,12,2,0.256175,0.252683,0.256175,0.003491999999999995
silicon-wh-b0,gelu,bfloat16,14336,14,2,0.2578515,0.243185,0.2578515,0.014666499999999985
silicon-wh-b0,gelu,bfloat16,15360,15,2,0.2590395,0.254081,0.2590395,0.004958500000000005
silicon-wh-b0,gelu,bfloat16,16384,16,1,0.415342,0.415342,0.415342,0.0
silicon-wh-b0,gelu,bfloat16,18432,18,1,0.235154,0.235154,0.235154,0.0
silicon-wh-b0,gelu,bfloat16,20480,20,4,0.3656855,0.296124,0.3678155,0.06884843245310675
silicon-wh-b0,gelu,bfloat16,21504,21,1,0.265883,0.265883,0.265883,0.0
silicon-wh-b0,gelu,bfloat16,24576,24,3,0.33307,0.265813,0.36521966666666666,0.09699201906113489
silicon-wh-b0,gelu,bfloat16,30720,30,2,0.3167275,0.303248,0.3167275,0.013479499999999978
silicon-wh-b0,gelu,bfloat16,35840,35,2,0.395542,0.349133,0.395542,0.04640899999999998
silicon-wh-b0,gelu,bfloat16,36864,36,1,0.33307,0.33307,0.33307,0.0
silicon-wh-b0,gelu,bfloat16,43008,42,1,0.282435,0.282435,0.282435,0.0
silicon-wh-b0,gelu,bfloat16,46080,45,1,0.465557,0.465557,0.465557,0.0
silicon-wh-b0,gelu,bfloat16,57344,56,1,0.319312,0.319312,0.319312,0.0
silicon-wh-b0,gelu,bfloat16,61440,60,1,0.574858,0.574858,0.574858,0.0
silicon-wh-b0,gelu,bfloat16,86016,84,1,1407.225747,1407.225747,1407.225747,0.0
silicon-wh-b0,gelu,bfloat16,107520,105,1,0.412548,0.412548,0.412548,0.0
silicon-wh-b0,gelu,bfloat16,110592,108,2,0.5778955,0.544477,0.5778955,0.03341850000000002
silicon-wh-b0,gelu,bfloat16,122880,120,1,0.554046,0.554046,0.554046,0.0
silicon-wh-b0,gelu,bfloat16,129024,126,1,0.388453,0.388453,0.388453,0.0
silicon-wh-b0,gelu,bfloat16,143360,140,1,0.532185,0.532185,0.532185,0.0
silicon-wh-b0,gelu,bfloat16,165888,162,1,0.367502,0.367502,0.367502,0.0
silicon-wh-b0,gelu,bfloat16,245760,240,1,0.638273,0.638273,0.638273,0.0
silicon-wh-b0,gelu,bfloat16,256000,250,1,0.694914,0.694914,0.694914,0.0
silicon-wh-b0,gelu,bfloat16,258048,252,1,0.711536,0.711536,0.711536,0.0
silicon-wh-b0,gelu,bfloat16,286720,280,1,0.632617,0.632617,0.632617,0.0
silicon-wh-b0,gelu,bfloat16,294912,288,1,0.738495,0.738495,0.738495,0.0
silicon-wh-b0,gelu,bfloat16,322560,315,1,0.748971,0.748971,0.748971,0.0
silicon-wh-b0,gelu,bfloat16,337920,330,1,0.833618,0.833618,0.833618,0.0
silicon-wh-b0,gelu,bfloat16,368640,360,1,0.905973,0.905973,0.905973,0.0
silicon-wh-b0,gelu,bfloat16,491520,480,1,1.063113,1.063113,1.063113,0.0
silicon-wh-b0,gelu,bfloat16,516096,504,1,0.923572,0.923572,0.923572,0.0
silicon-wh-b0,gelu,bfloat16,1146880,1120,1,3.027869,3.027869,3.027869,0.0
silicon-wh-b0,gelu,bfloat16,1161216,1134,1,1.753348,1.753348,1.753348,0.0
silicon-wh-b0,gelu,bfloat16,2408448,2352,1,2.953629,2.953629,2.953629,0.0
