backend,op,cores,tiles_per_core,total_tiles,median_ms,min_ms,error
emule-wh,exp,1,1,1,103.09648187831044,73.40194191783667,
emule-wh,reduce_sum,1,1,1,0.9841066785156727,0.9254971519112587,
emule-wh,exp,2,1,2,114.12733141332865,54.83611021190882,
emule-wh,reduce_sum,2,1,2,1.1521796695888042,1.0837716981768608,
emule-wh,exp,4,1,4,87.00923901051283,73.18384852260351,
emule-wh,reduce_sum,4,1,4,1.598038710653782,1.557735726237297,
emule-wh,exp,8,1,8,96.58373892307281,60.94233877956867,
emule-wh,reduce_sum,8,1,8,2.6004286482930183,2.54093948751688,
emule-wh,exp,16,1,16,86.54613420367241,73.90842866152525,
emule-wh,reduce_sum,16,1,16,11.142443399876356,8.699323982000351,
emule-wh,exp,32,1,32,80.5403208360076,55.2306417375803,
emule-wh,reduce_sum,32,1,32,77.96755293384194,24.676943197846413,
emule-wh,exp,64,1,64,125.18167262896895,92.37524308264256,
emule-wh,reduce_sum,64,1,64,132.73189589381218,110.15054397284985,
