backend,op,cores,tiles_per_core,total_tiles,median_ms,min_ms,error
emule-wormhole,exp,1,1,1,135.48053847625852,114.11707382649183,
emule-wormhole,reduce_sum,1,1,1,1.1247708462178707,1.0689860209822655,
emule-wormhole,exp,2,1,2,136.8564134463668,103.27825974673033,
emule-wormhole,reduce_sum,2,1,2,1.203678548336029,1.1680582538247108,
emule-wormhole,exp,4,1,4,131.90106209367514,84.01938620954752,
emule-wormhole,reduce_sum,4,1,4,1.8094424158334732,1.7558950930833817,
emule-wormhole,exp,8,1,8,152.5252484716475,88.91154546290636,
emule-wormhole,reduce_sum,8,1,8,2.849975135177374,2.6435405015945435,
emule-wormhole,exp,16,1,16,137.0958392508328,64.29756805300713,
emule-wormhole,reduce_sum,16,1,16,6.914273370057344,6.059647537767887,
emule-wormhole,exp,32,1,32,151.26782795414329,95.09165771305561,
emule-wormhole,reduce_sum,32,1,32,48.62551484256983,24.61058273911476,
emule-wormhole,exp,64,1,64,138.20578530430794,54.6325808390975,
emule-wormhole,reduce_sum,64,1,64,213.14745908603072,163.08352630585432,
