backend,op,dtype,side_tiles,total_elements,num_tiles,median_ms,min_ms,error
emule-wh,exp,bfloat16,1,1024,1,169.38281385228038,87.4167112633586,
emule-wh,exp,bfloat16,2,4096,4,123.50513320416212,90.15285316854715,
emule-wh,exp,bfloat16,4,16384,16,187.61108303442597,107.22181387245655,
emule-wh,exp,bfloat16,8,65536,64,137.51881895586848,44.73340604454279,
emule-wh,exp,bfloat16,16,262144,256,142.4537026323378,105.66889960318804,
emule-wh,exp,bfloat16,32,1048576,1024,135.18508663401008,52.05676797777414,
emule-wh,exp,bfloat16,64,4194304,4096,112.16038884595037,67.77357403188944,
emule-wh,exp,bfloat16,128,16777216,16384,193.02088161930442,92.81644597649574,
emule-wh,exp,bfloat16,256,67108864,65536,162.3905673623085,122.03551642596722,
emule-wh,exp,bfloat16,512,268435456,262144,274.9601840041578,253.94277181476355,
emule-wh,exp,bfloat16,768,603979776,589824,538.6681519448757,521.9169538468122,
emule-wh,exp,bfloat16,1024,1073741824,1048576,898.6113728024065,848.9156449213624,
