backend,op,dtype,side_tiles,M,N,K,total_flops,total_elements,warmup,iters,median_ms,min_ms,mean_ms,std_ms,gflops
emule-wormhole,matmul,bfloat16,1,32,32,32,65536.0,1024,3,6,0.5513136275112629,0.5340594798326492,0.5553785401086012,0.016906718140235637,0.11887244706038244
emule-wormhole,matmul,bfloat16,2,64,64,64,524288.0,4096,3,6,1.0737781412899494,1.0244976729154587,1.073437122007211,0.03287964098843693,0.4882647353671804
emule-wormhole,matmul,bfloat16,4,128,128,128,4194304.0,16384,3,6,11.006711516529322,3.877118229866028,13.664052821695805,8.036615806889088,0.38106785970552665
emule-wormhole,matmul,bfloat16,8,256,256,256,33554432.0,65536,3,6,169.4388845935464,136.84908952564,170.6371131973962,30.856589556891365,0.1980326539595152
emule-wormhole,matmul,bfloat16,16,512,512,512,268435456.0,262144,3,6,156.29182616248727,86.08563523739576,151.6029235596458,38.17960008305149,1.7175271579520972
emule-wormhole,matmul,bfloat16,32,1024,1024,1024,2147483648.0,1048576,3,6,192.8593749180436,166.8532332405448,195.7604270428419,26.452405751850954,11.134971524783703
