backend,in_buf,out_buf,total_elements,median_ms,min_ms,error
emule-wh,DRAM,DRAM,1024,111.03104520589113,62.69933097064495,
emule-wh,DRAM,DRAM,4096,190.41520962491632,60.83027645945549,
emule-wh,DRAM,DRAM,16384,126.86402862891555,87.78365515172482,
emule-wh,DRAM,DRAM,65536,180.89995998889208,99.54777639359236,
emule-wh,DRAM,L1,1024,87.40617148578167,59.89564210176468,
emule-wh,DRAM,L1,4096,93.43305230140686,71.57203927636147,
emule-wh,DRAM,L1,16384,141.98043756186962,86.57602779567242,
emule-wh,DRAM,L1,65536,147.3360895179212,96.35769482702017,
emule-wh,L1,DRAM,1024,160.24860786274076,90.01161437481642,
emule-wh,L1,DRAM,4096,139.13146499544382,82.37916883081198,
emule-wh,L1,DRAM,16384,134.63947921991348,74.63155593723059,
emule-wh,L1,DRAM,65536,92.23170066252351,88.09783961623907,
emule-wh,L1,L1,1024,90.25514218956232,57.629636488854885,
emule-wh,L1,L1,4096,92.27375825867057,43.32082159817219,
emule-wh,L1,L1,16384,102.49492852017283,68.92764288932085,
emule-wh,L1,L1,65536,179.75740553811193,68.29630956053734,
