op,op_class,tiles,median_ms
unary.exp,unary,1,148.158
unary.exp,unary,256,181.399
unary.exp,unary,16,124.581
unary.exp,unary,4096,171.283
unary.gelu,unary,1,143.154
unary.gelu,unary,256,135.735
unary.gelu,unary,16,96.693
unary.gelu,unary,4096,163.96
unary.sqrt,unary,1,185.233
unary.sqrt,unary,256,151.525
unary.sqrt,unary,16,157.289
unary.sqrt,unary,4096,125.464
unary.sigmoid,unary,1,219.918
unary.sigmoid,unary,256,135.86
unary.sigmoid,unary,16,94.673
unary.sigmoid,unary,4096,204.849
unary.relu,unary,1,127.734
unary.relu,unary,256,163.778
unary.relu,unary,16,139.427
unary.relu,unary,4096,184.46
binary.add,binary,1,89.923
binary.add,binary,256,194.242
binary.add,binary,16,161.007
binary.add,binary,4096,178.235
binary.mul,binary,1,113.972
binary.mul,binary,256,119.856
binary.mul,binary,16,177.178
binary.mul,binary,4096,145.01
binary.sub,binary,1,167.844
binary.sub,binary,256,152.879
binary.sub,binary,16,137.656
binary.sub,binary,4096,182.541
reduce.sum_w,reduce,1,1.056
reduce.sum_w,reduce,256,9.294
reduce.sum_w,reduce,16,2.029
reduce.sum_w,reduce,4096,284.687
reduce.max_w,reduce,1,1.059
reduce.max_w,reduce,256,5.938
reduce.max_w,reduce,16,1.855
reduce.max_w,reduce,4096,174.732
reduce.mean_w,reduce,1,1.009
reduce.mean_w,reduce,256,24.981
reduce.mean_w,reduce,16,1.952
reduce.mean_w,reduce,4096,193.135
fused.softmax,fused,1,131.259
fused.softmax,fused,256,168.106
fused.softmax,fused,16,189.567
fused.softmax,fused,4096,185.846
dm.transpose,datamov,1,213.162
dm.transpose,datamov,256,139.922
dm.transpose,datamov,16,174.552
dm.transpose,datamov,4096,126.267
dm.tilize,datamov,1,0.577
dm.tilize,datamov,256,7.256
dm.tilize,datamov,16,1.109
dm.tilize,datamov,4096,150.938
dm.untilize,datamov,1,0.598
dm.untilize,datamov,256,3.527
dm.untilize,datamov,16,0.987
dm.untilize,datamov,4096,87.867
matmul.sq,matmul,1,0.578
matmul.sq,matmul,256,132.778
matmul.sq,matmul,16,13.518
matmul.sq,matmul,4096,239.295
