backend,op,dtype,side_tiles,M,N,K,total_flops,total_elements,warmup,iters,median_ms,min_ms,mean_ms,std_ms,gflops
silicon-wh,matmul,bfloat16,1,32,32,32,65536.0,1024,3,6,0.08758000330999494,0.08604303002357483,0.0915375033703943,0.007802929642898757,0.7482986700517834
silicon-wh,matmul,bfloat16,2,64,64,64,524288.0,4096,3,6,0.09442452574148774,0.08946494199335575,0.09463415093099077,0.003650690582811813,5.55245574052845
silicon-wh,matmul,bfloat16,4,128,128,128,4194304.0,16384,3,6,0.09725248673930764,0.09274797048419714,0.10782198902840416,0.020379001798727946,43.12798716646842
silicon-wh,matmul,bfloat16,8,256,256,256,33554432.0,65536,3,6,0.08775450987741351,0.08136499673128128,0.09053666144609451,0.009835151930115103,382.36703785222016
silicon-wh,matmul,bfloat16,16,512,512,512,268435456.0,262144,3,6,0.09910407243296504,0.09421503636986017,0.11599368493383129,0.036387279669924555,2708.6218498394437
silicon-wh,matmul,bfloat16,32,1024,1024,1024,2147483648.0,1048576,3,6,0.14408049173653126,0.14058896340429783,0.15400980676834783,0.01700112383696479,14904.749575167578
silicon-wh,matmul,bfloat16,64,2048,2048,2048,17179869184.0,4194304,3,6,0.44593244092538953,0.44425600208342075,0.4469566435242693,0.002916572936251017,38525.72185228036
silicon-wh,matmul,bfloat16,128,4096,4096,4096,137438953472.0,16777216,3,6,10.552320978604257,10.509264073334634,10.550121175280461,0.033078474081193625,13024.523585917199
