backend,op,op_class,side_tiles,total_elements,median_ms,min_ms,std_ms,error
emule-wormhole,unary.exp,unary,16,262144,168.21315186098218,81.11885748803616,53.511759835626385,
emule-wormhole,unary.gelu,unary,16,262144,101.10334027558565,86.28860116004944,25.56092732882529,
emule-wormhole,unary.sqrt,unary,16,262144,149.492509663105,69.8306206613779,91.15536699658597,
emule-wormhole,unary.sigmoid,unary,16,262144,137.68324442207813,97.38057106733322,53.448406495639645,
emule-wormhole,unary.relu,unary,16,262144,120.16233941540122,69.11281403154135,35.47337665277614,
emule-wormhole,binary.add,binary,16,262144,120.44596578925848,56.75611551851034,33.698381555748774,
emule-wormhole,binary.mul,binary,16,262144,201.38572389259934,132.6600732281804,42.89149325874628,
emule-wormhole,binary.sub,binary,16,262144,173.62598003819585,98.07658102363348,47.013111992691215,
emule-wormhole,reduce.sum_w,reduce,16,262144,14.6465003490448,5.780059844255447,10.426889657488088,
emule-wormhole,reduce.max_w,reduce,16,262144,9.710648097097874,5.179996602237225,9.433298938484343,
emule-wormhole,reduce.mean_w,reduce,16,262144,7.983199320733547,5.557382479310036,13.604077264031456,
emule-wormhole,fused.softmax,fused,16,262144,158.32342160865664,91.11881535500288,40.37021496863183,
emule-wormhole,dm.transpose,datamov,16,262144,171.62284767255187,91.43138024955988,45.63176498485599,
emule-wormhole,dm.tilize,datamov,16,262144,8.55889217928052,3.363567404448986,6.781552572184856,
emule-wormhole,dm.untilize,datamov,16,262144,9.219535626471043,3.275402821600437,5.492949562032123,
emule-wormhole,matmul.sq,matmul,16,262144,162.60343417525291,72.29581195861101,90.91358400973023,
