fidelity,side,S,median_ms,min_ms,error
LoFi,16,512,196.79452572017908,148.4045060351491,
HiFi2,16,512,157.67087368294597,134.68570169061422,
HiFi3,16,512,169.67791225761175,114.12214115262032,
HiFi4,16,512,155.62682133167982,143.64165533334017,
LoFi,32,1024,170.8125858567655,140.4871316626668,
HiFi2,32,1024,145.42144909501076,124.16908051818609,
HiFi3,32,1024,176.05261085554957,109.71324238926172,
HiFi4,32,1024,159.5487305894494,134.58928931504488,
