backend,op,dtype,height,width,total_elements,num_tiles,warmup,iters,median_ms,min_ms,mean_ms,std_ms
emule-wormhole,exp,bfloat16,32,32,1024,1,2,9,91.28076396882534,55.72706926614046,93.89988850388262,24.327010328231196
emule-wormhole,exp,bfloat16,64,64,4096,4,2,9,98.51614199578762,45.7835765555501,95.62912800659736,24.216322772956055
emule-wormhole,exp,bfloat16,128,128,16384,16,2,9,89.73292913287878,61.79085001349449,88.41996784839365,15.653171611721197
emule-wormhole,exp,bfloat16,256,256,65536,64,2,9,89.86244257539511,64.06080443412066,90.28789990892012,16.64313200206091
emule-wormhole,exp,bfloat16,512,512,262144,256,2,9,83.33758637309074,66.19237270206213,87.68980753504567,15.914395118732905
emule-wormhole,exp,bfloat16,1024,1024,1048576,1024,2,9,102.03970223665237,45.88345531374216,90.15699103474617,25.956975544211634
emule-wormhole,exp,bfloat16,1536,1536,2359296,2304,2,9,69.96104307472706,53.525712341070175,79.74429718322224,20.640593598964553
emule-wormhole,exp,bfloat16,2048,2048,4194304,4096,2,9,88.30968104302883,66.54888950288296,86.75286836094327,12.209713986950812
emule-wormhole,exp,bfloat16,3072,3072,9437184,9216,2,9,90.22453799843788,59.74277015775442,90.5942792693774,23.318522622833907
emule-wormhole,exp,bfloat16,4096,4096,16777216,16384,2,5,92.89428684860468,70.96770405769348,93.56190133839846,19.003075887110736
emule-wormhole,exp,bfloat16,6144,6144,37748736,36864,2,5,108.72255638241768,82.2288729250431,110.68624053150415,18.33188387019472
emule-wormhole,exp,bfloat16,8192,8192,67108864,65536,2,5,116.8524818494916,110.1296879351139,123.31661265343428,14.766671094240223
emule-wormhole,exp,bfloat16,12288,12288,150994944,147456,2,5,180.68049103021622,146.90292719751596,193.76931209117174,44.201587143325554
