backend,op,ops,side_tiles,import_ms,open_ms,compile_ms,warm_mean_ms,ops_total_ms,close_ms,bringup_ms,total_ms
silicon-wh,exp,1,8,1504.357,914.199,73.033,nan,73.033,114.237,2418.556,2605.826
silicon-wh,exp,2,8,1542.005,930.082,67.526,0.231,67.757,120.533,2472.087,2660.377
silicon-wh,exp,5,8,1436.269,905.377,63.417,0.182,64.143,113.515,2341.646,2519.305
silicon-wh,exp,10,8,1528.494,909.807,70.309,0.162,71.771,115.605,2438.301,2625.677
silicon-wh,exp,20,8,1478.487,923.552,63.651,0.125,66.024,111.832,2402.039,2579.895
silicon-wh,exp,50,8,1482.914,914.26,62.089,0.109,67.411,120.535,2397.175,2585.12
