backend,dir,total_elements,median_ms,min_ms,error
emule-wh,H2D_from_torch,16384,0.06802799180150032,0.0664805993437767,
emule-wh,D2H_to_torch,16384,0.06053224205970764,0.05931127816438675,
emule-wh,H2D_from_torch,262144,0.3460422158241272,0.33643003553152084,
emule-wh,D2H_to_torch,262144,0.5824537947773933,0.574999488890171,
emule-wh,H2D_from_torch,4194304,3.9808135479688644,3.890327177941799,
emule-wh,D2H_to_torch,4194304,15.010148752480745,14.273406937718391,
emule-wh,H2D_from_torch,16777216,57.318215258419514,55.71859888732433,
emule-wh,D2H_to_torch,16777216,71.11094426363707,70.69868221879005,
emule-wh,H2D_from_torch,67108864,238.7204342521727,238.05865924805403,
emule-wh,D2H_to_torch,67108864,293.417158536613,292.029676027596,
emule-wh,H2D_from_torch,268435456,956.1984022147954,954.2115023359656,
emule-wh,D2H_to_torch,268435456,1170.1929699629545,1165.9785816445947,
