backend,dtype,total_elements,median_ms,min_ms,error
emule-wh,bfloat16,1024,131.45854650065303,101.6074875369668,
emule-wh,bfloat16,16384,176.46624008193612,150.3268824890256,
emule-wh,bfloat16,262144,165.2387287467718,99.80633854866028,
emule-wh,bfloat16,4194304,113.03147906437516,77.25587859749794,
emule-wh,bfloat16,16777216,177.85833729431033,153.7006702274084,
emule-wh,bfloat8_b,1024,170.36874080076814,87.84736599773169,
emule-wh,bfloat8_b,16384,184.595359954983,78.94933968782425,
emule-wh,bfloat8_b,262144,154.2055062018335,84.35042575001717,
emule-wh,bfloat8_b,4194304,159.54651404172182,128.62205505371094,
emule-wh,bfloat8_b,16777216,185.91705616563559,140.89080318808556,
