backend,op,median_ms,min_ms,error
emule-wh,concat_w,84.39528243616223,58.685132302343845,
emule-wh,concat_h,55.919092148542404,20.571080967783928,
emule-wh,permute,130.7184612378478,90.39030876010656,
emule-wh,reshape,0.003057532012462616,0.0029690563678741455,
emule-wh,repeat,11.701552662998438,7.044577971100807,
emule-wh,pad,53.51127777248621,34.51365604996681,
emule-wh,slice,91.14058408886194,45.89085280895233,
emule-wh,typecast_bf8,146.0037473589182,88.0713788792491,
emule-wh,clone,54.94081508368254,36.623637191951275,
emule-wh,to_layout_rm,8.783210534602404,3.867626190185547,
emule-wh,to_layout_tile,8.387972600758076,3.3975429832935333,
