backend,graph,op,side,elements,dtype,in_mem,out_mem,layout,sharded,cores,fidelity,seq,flops,iters,ms_min,ms_med,ms_mean,ms_p90,error
silicon,composite,layernorm,1,1024,bf16,dram,dram,tile,0,,,,,8,0.0914,0.0972,0.117,0.1831,
silicon,composite,layernorm,2,4096,bf16,dram,dram,tile,0,,,,,8,0.0904,0.1228,0.1136,0.1386,
silicon,composite,layernorm,4,16384,bf16,dram,dram,tile,0,,,,,8,0.0899,0.1173,0.1136,0.1315,
silicon,composite,layernorm,8,65536,bf16,dram,dram,tile,0,,,,,8,0.0913,0.0932,0.0958,0.114,
silicon,composite,layernorm,16,262144,bf16,dram,dram,tile,0,,,,,8,0.0956,0.142,0.1409,0.1849,
silicon,composite,layernorm,32,1048576,bf16,dram,dram,tile,0,,,,,8,0.1249,0.141,0.1538,0.1987,
silicon,composite,softmax,1,1024,bf16,dram,dram,tile,0,,,,,8,0.1212,0.1389,0.1501,0.2102,
silicon,composite,softmax,2,4096,bf16,dram,dram,tile,0,,,,,8,0.1221,0.1426,0.1437,0.1665,
silicon,composite,softmax,4,16384,bf16,dram,dram,tile,0,,,,,8,0.1212,0.1436,0.1417,0.1627,
silicon,composite,softmax,8,65536,bf16,dram,dram,tile,0,,,,,8,0.1221,0.1452,0.1391,0.1555,
silicon,composite,softmax,16,262144,bf16,dram,dram,tile,0,,,,,8,0.1226,0.1415,0.1426,0.1651,
silicon,composite,softmax,32,1048576,bf16,dram,dram,tile,0,,,,,8,0.1414,0.1552,0.1553,0.1722,
silicon,composite,sdpa,,131072,bf16,dram,dram,tile,0,,,128,67108864,8,0.1065,0.1564,0.1734,0.3624,
silicon,composite,sdpa,,262144,bf16,dram,dram,tile,0,,,256,268435456,8,0.1022,0.1121,0.1382,0.3345,
silicon,composite,sdpa,,524288,bf16,dram,dram,tile,0,,,512,1073741824,8,0.1713,0.1741,0.1739,0.176,
silicon,composite,sdpa,,1048576,bf16,dram,dram,tile,0,,,1024,4294967296,8,0.4315,0.4641,0.4593,0.4745,
silicon,composite,sdpa,,2097152,bf16,dram,dram,tile,0,,,2048,17179869184,8,1.4255,1.4356,1.4344,1.4421,
