backend,op,side,seq,ops_n,reps,total_med_s,total_min_s,reset_med_s,proc_med_s,open_med_ms,opsexec_med_ms,error
emule,exp,8,512,1,3,3.5301,3.3964,0.0,3.5301,47.525,1544.5012,
emule,exp,8,512,2,3,3.559,3.3904,0.0,3.559,41.9664,1578.9598,
emule,exp,8,512,4,3,3.592,3.424,0.0,3.592,42.423,1629.1122,
emule,exp,8,512,8,3,3.6034,3.5779,0.0,3.6034,44.7583,1636.2413,
emule,exp,8,512,16,3,3.6351,3.5092,0.0,3.6351,43.019,1704.0557,
emule,exp,8,512,32,3,3.7752,3.6143,0.0,3.7752,43.567,1819.7435,
emule,exp,8,512,64,3,3.8586,3.8466,0.0,3.8586,43.3944,1935.8189,
emule,exp,8,512,128,3,4.3436,4.2029,0.0,4.3436,43.9675,2320.8707,
