backend,graph,op,side,elements,dtype,in_mem,out_mem,layout,sharded,cores,fidelity,seq,flops,iters,ms_min,ms_med,ms_mean,ms_p90,error
silicon,size_exp,exp,1,1024,bf16,dram,dram,tile,0,,,,,8,0.105,0.1105,0.1127,0.1249,
silicon,size_exp,exp,2,4096,bf16,dram,dram,tile,0,,,,,8,0.105,0.1067,0.1106,0.133,
silicon,size_exp,exp,4,16384,bf16,dram,dram,tile,0,,,,,8,0.1074,0.11,0.1098,0.1126,
silicon,size_exp,exp,8,65536,bf16,dram,dram,tile,0,,,,,8,0.1093,0.1121,0.114,0.124,
silicon,size_exp,exp,16,262144,bf16,dram,dram,tile,0,,,,,8,0.1084,0.1129,0.1158,0.1302,
silicon,size_exp,exp,32,1048576,bf16,dram,dram,tile,0,,,,,8,0.1182,0.1344,0.1327,0.1452,
