backend,graph,op,side,elements,dtype,in_mem,out_mem,layout,sharded,cores,fidelity,seq,flops,iters,ms_min,ms_med,ms_mean,ms_p90,error
emule,memcfg_exp,exp,1,1024,bf16,dram,dram,tile,0,,,,,8,2.9617,3.1786,3.2774,3.8221,
emule,memcfg_exp,exp,2,4096,bf16,dram,dram,tile,0,,,,,8,3.0002,3.3108,3.2871,3.4609,
emule,memcfg_exp,exp,4,16384,bf16,dram,dram,tile,0,,,,,8,3.8192,3.9938,4.1834,5.3976,
emule,memcfg_exp,exp,8,65536,bf16,dram,dram,tile,0,,,,,8,4.5988,4.8228,4.8822,5.3951,
emule,memcfg_exp,exp,16,262144,bf16,dram,dram,tile,0,,,,,8,6.2668,6.5588,6.7322,7.9502,
emule,memcfg_exp,exp,32,1048576,bf16,dram,dram,tile,0,,,,,8,15.173,15.8719,15.9944,16.8974,
emule,memcfg_exp,exp,1,1024,bf16,dram,l1,tile,0,,,,,8,3.0151,3.2594,3.3166,3.7878,
emule,memcfg_exp,exp,2,4096,bf16,dram,l1,tile,0,,,,,8,3.2963,3.4613,3.4854,3.7467,
emule,memcfg_exp,exp,4,16384,bf16,dram,l1,tile,0,,,,,8,3.5599,3.779,3.8712,4.7861,
emule,memcfg_exp,exp,8,65536,bf16,dram,l1,tile,0,,,,,8,4.559,4.7899,4.9768,6.2592,
emule,memcfg_exp,exp,16,262144,bf16,dram,l1,tile,0,,,,,8,6.0441,6.5748,6.6912,8.0793,
emule,memcfg_exp,exp,32,1048576,bf16,dram,l1,tile,0,,,,,8,14.6674,16.0714,15.898,16.9454,
emule,memcfg_exp,exp,1,1024,bf16,l1,dram,tile,0,,,,,8,3.1103,3.3192,3.5521,4.8781,
emule,memcfg_exp,exp,2,4096,bf16,l1,dram,tile,0,,,,,8,3.1762,3.34,3.4461,3.9382,
emule,memcfg_exp,exp,4,16384,bf16,l1,dram,tile,0,,,,,8,3.7726,4.0298,3.9818,4.1597,
emule,memcfg_exp,exp,8,65536,bf16,l1,dram,tile,0,,,,,8,4.6595,5.0914,5.2802,6.2185,
emule,memcfg_exp,exp,16,262144,bf16,l1,dram,tile,0,,,,,8,6.8583,7.305,7.3772,8.244,
emule,memcfg_exp,exp,32,1048576,bf16,l1,dram,tile,0,,,,,8,15.2803,16.6302,16.5603,17.4797,
emule,memcfg_exp,exp,1,1024,bf16,l1,l1,tile,0,,,,,8,3.117,3.2145,3.2036,3.2518,
emule,memcfg_exp,exp,2,4096,bf16,l1,l1,tile,0,,,,,8,3.5312,3.763,3.9517,4.8535,
emule,memcfg_exp,exp,4,16384,bf16,l1,l1,tile,0,,,,,8,3.8203,4.2303,4.2738,4.7261,
emule,memcfg_exp,exp,8,65536,bf16,l1,l1,tile,0,,,,,8,4.7088,5.0202,5.0362,5.4367,
emule,memcfg_exp,exp,16,262144,bf16,l1,l1,tile,0,,,,,8,6.219,6.7937,6.7141,6.985,
emule,memcfg_exp,exp,32,1048576,bf16,l1,l1,tile,0,,,,,8,15.3353,17.1712,16.9177,18.1955,
