backend,op,side,seq,ops_n,reps,total_med_s,total_min_s,reset_med_s,proc_med_s,open_med_ms,opsexec_med_ms,error
silicon,exp,8,512,1,3,14.017,13.9722,8.6319,5.4049,2587.2955,931.28,
silicon,exp,8,512,2,3,13.9652,13.9607,8.6243,5.3364,2555.4956,926.3259,inner rc=-6
silicon,exp,8,512,4,3,14.0315,13.9824,8.6212,5.4259,2585.1513,923.6543,
silicon,exp,8,512,8,3,14.0544,13.9199,8.6115,5.4429,2578.3313,916.2695,
silicon,exp,8,512,16,3,14.0246,13.9792,8.6249,5.391,2587.2357,916.0367,
silicon,exp,8,512,32,3,13.9925,13.9599,8.6109,5.3976,2582.8694,926.6969,
silicon,exp,8,512,64,3,14.0496,13.9914,8.6132,5.4364,2576.3523,945.9503,
silicon,exp,8,512,128,3,14.0505,14.047,8.6415,5.4056,2582.6612,930.3224,
