backend,graph,op,side,elements,dtype,in_mem,out_mem,layout,sharded,cores,fidelity,seq,flops,iters,ms_min,ms_med,ms_mean,ms_p90,error
emule,composite,layernorm,1,1024,bf16,dram,dram,tile,0,,,,,8,0.3453,0.35,0.3581,0.3909,
emule,composite,layernorm,2,4096,bf16,dram,dram,tile,0,,,,,8,0.4347,0.4471,0.452,0.4827,
emule,composite,layernorm,4,16384,bf16,dram,dram,tile,0,,,,,8,0.6394,0.6845,0.6905,0.7413,
emule,composite,layernorm,8,65536,bf16,dram,dram,tile,0,,,,,8,1.1893,1.3225,1.3415,1.5401,
emule,composite,layernorm,16,262144,bf16,dram,dram,tile,0,,,,,8,3.09,3.2721,3.313,3.5913,
emule,composite,layernorm,32,1048576,bf16,dram,dram,tile,0,,,,,8,8.4032,9.4261,9.3544,10.3719,
emule,composite,softmax,1,1024,bf16,dram,dram,tile,0,,,,,8,3.9516,4.1583,4.1958,4.4649,
emule,composite,softmax,2,4096,bf16,dram,dram,tile,0,,,,,8,3.8354,4.0819,4.1095,4.4009,
emule,composite,softmax,4,16384,bf16,dram,dram,tile,0,,,,,8,3.8743,4.1582,4.1239,4.3307,
emule,composite,softmax,8,65536,bf16,dram,dram,tile,0,,,,,8,4.2793,4.7467,4.8045,6.02,
emule,composite,softmax,16,262144,bf16,dram,dram,tile,0,,,,,8,4.8666,5.2123,5.4222,6.3844,
emule,composite,softmax,32,1048576,bf16,dram,dram,tile,0,,,,,8,7.1963,7.5384,7.6656,8.3162,
emule,composite,sdpa,,131072,bf16,dram,dram,tile,0,,,128,67108864,8,9.1899,9.4104,9.4735,9.8942,
emule,composite,sdpa,,262144,bf16,dram,dram,tile,0,,,256,268435456,8,20.9039,22.151,22.1173,23.1012,
emule,composite,sdpa,,524288,bf16,dram,dram,tile,0,,,512,1073741824,8,44.4192,49.4168,49.9187,55.6456,
emule,composite,sdpa,,1048576,bf16,dram,dram,tile,0,,,1024,4294967296,8,151.7549,160.7194,159.9497,166.0283,
emule,composite,sdpa,,2097152,bf16,dram,dram,tile,0,,,2048,17179869184,8,586.512,639.9259,633.2032,654.7282,
