backend,graph,op,side,elements,dtype,in_mem,out_mem,layout,sharded,cores,fidelity,seq,flops,iters,ms_min,ms_med,ms_mean,ms_p90,error
silicon,memcfg_exp,exp,1,1024,bf16,dram,dram,tile,0,,,,,8,0.1121,0.1154,0.1161,0.1221,
silicon,memcfg_exp,exp,2,4096,bf16,dram,dram,tile,0,,,,,8,0.113,0.1206,0.1234,0.1523,
silicon,memcfg_exp,exp,4,16384,bf16,dram,dram,tile,0,,,,,8,0.1112,0.1131,0.1138,0.1183,
silicon,memcfg_exp,exp,8,65536,bf16,dram,dram,tile,0,,,,,8,0.1117,0.1152,0.117,0.1296,
silicon,memcfg_exp,exp,16,262144,bf16,dram,dram,tile,0,,,,,8,0.1117,0.1154,0.1162,0.1216,
silicon,memcfg_exp,exp,32,1048576,bf16,dram,dram,tile,0,,,,,8,0.1154,0.1194,0.1196,0.123,
silicon,memcfg_exp,exp,1,1024,bf16,dram,l1,tile,0,,,,,8,0.1168,0.1379,0.1386,0.1618,
silicon,memcfg_exp,exp,2,4096,bf16,dram,l1,tile,0,,,,,8,0.1121,0.1367,0.1314,0.142,
silicon,memcfg_exp,exp,4,16384,bf16,dram,l1,tile,0,,,,,8,0.1121,0.1254,0.1258,0.1409,
silicon,memcfg_exp,exp,8,65536,bf16,dram,l1,tile,0,,,,,8,0.1136,0.115,0.1253,0.159,
silicon,memcfg_exp,exp,16,262144,bf16,dram,l1,tile,0,,,,,8,0.1117,0.1178,0.1281,0.1548,
silicon,memcfg_exp,exp,32,1048576,bf16,dram,l1,tile,0,,,,,8,0.1106,0.1142,0.1144,0.1197,
silicon,memcfg_exp,exp,1,1024,bf16,l1,dram,tile,0,,,,,8,0.1145,0.1521,0.1411,0.1614,
silicon,memcfg_exp,exp,2,4096,bf16,l1,dram,tile,0,,,,,8,0.1092,0.1244,0.1248,0.1405,
silicon,memcfg_exp,exp,4,16384,bf16,l1,dram,tile,0,,,,,8,0.1116,0.1388,0.1543,0.3069,
silicon,memcfg_exp,exp,8,65536,bf16,l1,dram,tile,0,,,,,8,0.1121,0.1259,0.1292,0.1623,
silicon,memcfg_exp,exp,16,262144,bf16,l1,dram,tile,0,,,,,8,0.1111,0.127,0.1264,0.1405,
silicon,memcfg_exp,exp,32,1048576,bf16,l1,dram,tile,0,,,,,8,0.1126,0.1168,0.1175,0.1235,
silicon,memcfg_exp,exp,1,1024,bf16,l1,l1,tile,0,,,,,8,0.1107,0.1339,0.1283,0.1458,
silicon,memcfg_exp,exp,2,4096,bf16,l1,l1,tile,0,,,,,8,0.112,0.1338,0.1518,0.2872,
silicon,memcfg_exp,exp,4,16384,bf16,l1,l1,tile,0,,,,,8,0.1097,0.1211,0.1219,0.1372,
silicon,memcfg_exp,exp,8,65536,bf16,l1,l1,tile,0,,,,,8,0.1083,0.1114,0.1121,0.1211,
silicon,memcfg_exp,exp,16,262144,bf16,l1,l1,tile,0,,,,,8,0.1098,0.1123,0.1142,0.1282,
silicon,memcfg_exp,exp,32,1048576,bf16,l1,l1,tile,0,,,,,8,0.114,0.1417,0.1332,0.1476,
